"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.42.54","35.241.24.90","TCP","66","53849  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"2","0.009517","192.168.42.54","35.170.0.145","TLSv1.2","342","Application Data"
"3","0.167810","35.241.24.90","192.168.42.54","TCP","66","443  >  53849 [SYN, ACK] Seq=0 Ack=1 Win=60720 Len=0 MSS=1370 SACK_PERM=1 WS=256"
"4","0.167945","192.168.42.54","35.241.24.90","TCP","54","53849  >  443 [ACK] Seq=1 Ack=1 Win=131328 Len=0"
"5","0.177299","192.168.42.54","35.241.24.90","TLSv1.2","571","Client Hello"
"6","0.265942","35.241.24.90","192.168.42.54","TCP","54","443  >  53849 [ACK] Seq=1 Ack=518 Win=61952 Len=0"
"7","0.265942","35.241.24.90","192.168.42.54","TLSv1.2","1424","Server Hello"
"8","0.265943","35.241.24.90","192.168.42.54","TCP","1424","443  >  53849 [ACK] Seq=1371 Ack=518 Win=61952 Len=1370 [TCP segment of a reassembled PDU]"
"9","0.265944","35.241.24.90","192.168.42.54","TLSv1.2","1424","Certificate [TCP segment of a reassembled PDU]"
"10","0.265946","35.241.24.90","192.168.42.54","TLSv1.2","324","Server Key Exchange, Server Hello Done"
"11","0.266130","192.168.42.54","35.241.24.90","TCP","54","53849  >  443 [ACK] Seq=518 Ack=4381 Win=131328 Len=0"
"12","0.272625","192.168.42.54","35.241.24.90","TLSv1.2","147","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"13","0.287051","35.170.0.145","192.168.42.54","TCP","54","443  >  52940 [ACK] Seq=1 Ack=289 Win=451 Len=0"
"14","0.287052","35.170.0.145","192.168.42.54","TLSv1.2","379","Application Data"
"15","0.341877","192.168.42.54","35.170.0.145","TCP","54","52940  >  443 [ACK] Seq=289 Ack=326 Win=512 Len=0"
"16","0.362248","35.241.24.90","192.168.42.54","TLSv1.2","338","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"17","0.362249","35.241.24.90","192.168.42.54","TLSv1.2","123","Application Data"
"18","0.362383","192.168.42.54","35.241.24.90","TCP","54","53849  >  443 [ACK] Seq=611 Ack=4734 Win=131072 Len=0"
"19","0.379865","192.168.42.54","35.241.24.90","TLSv1.2","107","Application Data"
"20","0.379937","192.168.42.54","35.241.24.90","TLSv1.2","98","Application Data"
"21","0.380040","192.168.42.54","35.241.24.90","TLSv1.2","92","Application Data"
"22","0.380074","192.168.42.54","35.241.24.90","TLSv1.2","104","Application Data"
"23","0.396333","192.168.42.54","35.241.24.90","TLSv1.2","335","Application Data"
"24","0.396405","192.168.42.54","35.241.24.90","TLSv1.2","453","Application Data"
"25","0.451107","35.241.24.90","192.168.42.54","TCP","54","443  >  53849 [ACK] Seq=4734 Ack=708 Win=61952 Len=0"
"26","0.451108","35.241.24.90","192.168.42.54","TLSv1.2","92","Application Data"
"27","0.456982","35.241.24.90","192.168.42.54","TCP","54","443  >  53849 [ACK] Seq=4772 Ack=796 Win=61952 Len=0"
"28","0.456983","35.241.24.90","192.168.42.54","TLSv1.2","92","Application Data"
"29","0.457104","192.168.42.54","35.241.24.90","TCP","54","53849  >  443 [ACK] Seq=1476 Ack=4810 Win=131072 Len=0"
"30","0.483316","35.241.24.90","192.168.42.54","TCP","54","443  >  53849 [ACK] Seq=4810 Ack=1077 Win=62976 Len=0"
"31","0.483317","35.241.24.90","192.168.42.54","TCP","54","443  >  53849 [ACK] Seq=4810 Ack=1476 Win=64000 Len=0"
"32","0.779559","192.168.42.54","188.255.6.205","UDP","145","33245  >  21974 Len=103"
"33","0.878848","35.241.24.90","192.168.42.54","TLSv1.2","303","Application Data"
"34","0.888300","192.168.42.54","35.241.24.90","TLSv1.2","100","Application Data"
"35","0.952081","35.241.24.90","192.168.42.54","TCP","54","443  >  53849 [ACK] Seq=5059 Ack=1522 Win=64000 Len=0"
"36","1.192865","192.168.42.54","40.81.26.225","TCP","1424","53844  >  443 [ACK] Seq=1 Ack=1 Win=513 Len=1370 [TCP segment of a reassembled PDU]"
"37","1.192866","192.168.42.54","40.81.26.225","TLSv1.2","245","Application Data"
"38","1.192943","192.168.42.54","40.81.26.225","TCP","1424","53844  >  443 [ACK] Seq=1562 Ack=1 Win=513 Len=1370 [TCP segment of a reassembled PDU]"
"39","1.192943","192.168.42.54","40.81.26.225","TCP","1424","53844  >  443 [ACK] Seq=2932 Ack=1 Win=513 Len=1370 [TCP segment of a reassembled PDU]"
"40","1.192945","192.168.42.54","40.81.26.225","TLSv1.2","1279","Application Data"
"41","1.260677","188.255.6.205","192.168.42.54","UDP","341","21974  >  33245 Len=299"
"42","1.442368","40.81.26.225","192.168.42.54","TCP","54","443  >  53844 [ACK] Seq=1 Ack=1562 Win=2049 Len=0"
"43","1.494147","40.81.26.225","192.168.42.54","TCP","54","443  >  53844 [ACK] Seq=1 Ack=4302 Win=2049 Len=0"
"44","1.565440","40.81.26.225","192.168.42.54","TCP","54","443  >  53844 [ACK] Seq=1 Ack=5527 Win=2044 Len=0"
"45","1.681186","40.81.26.225","192.168.42.54","TCP","1424","443  >  53844 [ACK] Seq=1 Ack=5527 Win=2044 Len=1370 [TCP segment of a reassembled PDU]"
"46","1.681188","40.81.26.225","192.168.42.54","TCP","1424","443  >  53844 [ACK] Seq=1371 Ack=5527 Win=2044 Len=1370 [TCP segment of a reassembled PDU]"
"47","1.681189","40.81.26.225","192.168.42.54","TCP","1424","443  >  53844 [ACK] Seq=2741 Ack=5527 Win=2044 Len=1370 [TCP segment of a reassembled PDU]"
"48","1.681192","40.81.26.225","192.168.42.54","TLSv1.2","518","Application Data"
"49","1.681370","192.168.42.54","40.81.26.225","TCP","54","53844  >  443 [ACK] Seq=5527 Ack=4575 Win=513 Len=0"
"50","1.842232","192.168.42.54","52.109.120.23","TCP","66","53850  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"51","2.042098","52.109.120.23","192.168.42.54","TCP","66","443  >  53850 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1370 WS=256 SACK_PERM=1"
"52","2.042311","192.168.42.54","52.109.120.23","TCP","54","53850  >  443 [ACK] Seq=1 Ack=1 Win=131328 Len=0"
"53","2.054880","192.168.42.54","52.109.120.23","TLSv1.2","239","Client Hello"
"54","2.218193","52.109.120.23","192.168.42.54","TCP","1424","443  >  53850 [ACK] Seq=1 Ack=186 Win=131328 Len=1370 [TCP segment of a reassembled PDU]"
"55","2.218194","52.109.120.23","192.168.42.54","TCP","1424","443  >  53850 [ACK] Seq=1371 Ack=186 Win=131328 Len=1370 [TCP segment of a reassembled PDU]"
"56","2.218194","52.109.120.23","192.168.42.54","TCP","1424","443  >  53850 [ACK] Seq=2741 Ack=186 Win=131328 Len=1370 [TCP segment of a reassembled PDU]"
"57","2.218196","52.109.120.23","192.168.42.54","TCP","1424","443  >  53850 [ACK] Seq=4111 Ack=186 Win=131328 Len=1370 [TCP segment of a reassembled PDU]"
"58","2.218347","192.168.42.54","52.109.120.23","TCP","54","53850  >  443 [ACK] Seq=186 Ack=5481 Win=131328 Len=0"
"59","2.406341","52.109.120.23","192.168.42.54","TLSv1.2","752","Server Hello, Certificate, Certificate Status, Server Key Exchange, Server Hello Done"
"60","2.431591","192.168.42.54","52.109.120.23","TLSv1.2","268","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"61","2.851669","52.109.120.23","192.168.42.54","TLSv1.2","161","Change Cipher Spec, Encrypted Handshake Message"
"62","2.873860","192.168.42.54","52.109.120.23","TLSv1.2","459","Application Data"
"63","2.882889","192.168.42.54","52.109.120.23","TLSv1.2","891","Application Data"
"64","3.172107","52.109.120.23","192.168.42.54","TCP","54","443  >  53850 [ACK] Seq=6286 Ack=1642 Win=131328 Len=0"
"65","3.172108","52.109.120.23","192.168.42.54","TLSv1.2","779","Application Data"
"66","3.227791","192.168.42.54","52.109.120.23","TCP","54","53850  >  443 [ACK] Seq=1642 Ack=7011 Win=131328 Len=0"
"67","3.492363","5.9.51.76","192.168.42.54","TCP","54","80  >  52445 [ACK] Seq=1 Ack=1 Win=260 Len=0"
"68","3.492429","192.168.42.54","5.9.51.76","TCP","54","[TCP ACKed unseen segment] 52445  >  80 [ACK] Seq=1 Ack=2 Win=512 Len=0"
"69","6.457243","192.168.42.54","5.9.51.76","TCP","55","[TCP Keep-Alive] [TCP ACKed unseen segment] 52445  >  80 [ACK] Seq=0 Ack=2 Win=512 Len=1"
"70","6.691920","5.9.51.76","192.168.42.54","TCP","66","[TCP Previous segment not captured] 80  >  52445 [ACK] Seq=2 Ack=1 Win=260 Len=0 SLE=0 SRE=1"
"71","7.777583","192.168.42.54","37.187.122.55","UDP","145","33245  >  51413 Len=103"
"72","7.897116","76:3f:41:2d:34:27","0a:89:b6:c8:72:78","ARP","42","Who has 192.168.42.54? Tell 192.168.42.129"
"73","7.897135","0a:89:b6:c8:72:78","76:3f:41:2d:34:27","ARP","42","192.168.42.54 is at 0a:89:b6:c8:72:78"
"74","8.066118","37.187.122.55","192.168.42.54","UDP","310","51413  >  33245 Len=268"
"75","8.376476","2405:204:4088:c972:d175:5de0:a2d0:cc05","2404:6800:4003:c04::bd","UDP","85","50824  >  443 Len=23"
"76","8.591634","2404:6800:4003:c04::bd","2405:204:4088:c972:d175:5de0:a2d0:cc05","UDP","82","443  >  50824 Len=20"
"77","9.552665","192.168.42.54","180.87.4.161","TCP","54","53847  >  443 [FIN, ACK] Seq=1 Ack=1 Win=513 Len=0"
"78","9.902240","180.87.4.161","192.168.42.54","TCP","54","443  >  53847 [FIN, ACK] Seq=1 Ack=2 Win=237 Len=0"
"79","9.902318","192.168.42.54","180.87.4.161","TCP","54","53847  >  443 [ACK] Seq=2 Ack=2 Win=513 Len=0"
"80","10.176778","192.168.42.54","35.241.24.90","TCP","54","53849  >  443 [FIN, ACK] Seq=1522 Ack=5059 Win=130816 Len=0"
"81","10.271423","35.241.24.90","192.168.42.54","TCP","54","443  >  53849 [FIN, ACK] Seq=5059 Ack=1523 Win=64000 Len=0"
"82","10.271712","192.168.42.54","35.241.24.90","TCP","54","53849  >  443 [ACK] Seq=1523 Ack=5060 Win=130816 Len=0"
"83","12.771519","192.168.42.54","192.168.42.129","DNS","79","Standard query 0x77b5 A ff.search.yahoo.com"
"84","12.772033","192.168.42.54","192.168.42.129","DNS","79","Standard query 0x5f18 AAAA ff.search.yahoo.com"
"85","12.864341","2405:204:4088:c972:d175:5de0:a2d0:cc05","2405:204:4088:c972::e5","DNS","99","Standard query 0x77b5 A ff.search.yahoo.com"
"86","12.865148","2405:204:4088:c972:d175:5de0:a2d0:cc05","2405:204:4088:c972::e5","DNS","99","Standard query 0x5f18 AAAA ff.search.yahoo.com"
"87","12.903705","192.168.42.129","192.168.42.54","DNS","150","Standard query response 0x5f18 AAAA ff.search.yahoo.com CNAME ds-global3.l7.search.ystg1.b.yahoo.com AAAA 2406:2000:e4:1404::3000"
"88","12.932989","2405:204:4088:c972::e5","2405:204:4088:c972:d175:5de0:a2d0:cc05","DNS","158","Standard query response 0x77b5 A ff.search.yahoo.com CNAME ds-global3.l7.search.ystg1.b.yahoo.com A 106.10.218.137"
"89","12.932991","2405:204:4088:c972::e5","2405:204:4088:c972:d175:5de0:a2d0:cc05","DNS","170","Standard query response 0x5f18 AAAA ff.search.yahoo.com CNAME ds-global3.l7.search.ystg1.b.yahoo.com AAAA 2406:2000:e4:1404::3000"
"90","12.935674","2405:204:4088:c972:d175:5de0:a2d0:cc05","2406:2000:e4:1404::3000","TCP","86","53851  >  443 [SYN] Seq=0 Win=64800 Len=0 MSS=1440 WS=256 SACK_PERM=1"
"91","12.991173","2405:204:4088:c972:d175:5de0:a2d0:cc05","2406:2000:e4:1404::3000","TCP","86","53852  >  443 [SYN] Seq=0 Win=64800 Len=0 MSS=1440 WS=256 SACK_PERM=1"
"92","13.002202","192.168.42.129","192.168.42.54","DNS","138","Standard query response 0x77b5 A ff.search.yahoo.com CNAME ds-global3.l7.search.ystg1.b.yahoo.com A 106.10.218.137"
"93","13.116614","2406:2000:e4:1404::3000","2405:204:4088:c972:d175:5de0:a2d0:cc05","TCP","86","443  >  53851 [SYN, ACK] Seq=0 Ack=1 Win=14400 Len=0 MSS=1370 SACK_PERM=1 WS=256"
"94","13.116971","2405:204:4088:c972:d175:5de0:a2d0:cc05","2406:2000:e4:1404::3000","TCP","74","53851  >  443 [ACK] Seq=1 Ack=1 Win=131328 Len=0"
"95","13.132484","192.168.42.54","192.168.42.129","DNS","72","Standard query 0xed65 AAAA www.youx.xxx"
"96","13.134001","192.168.42.54","192.168.42.129","DNS","72","Standard query 0x113c A www.youx.xxx"
"97","13.166866","2405:204:4088:c972:d175:5de0:a2d0:cc05","2406:2000:e4:1404::3000","TLSv1.2","591","Client Hello"
"98","13.173174","192.168.42.129","192.168.42.54","DNS","128","Standard query response 0xed65 AAAA www.youx.xxx AAAA 2606:4700:3038::681f:8ad AAAA 2606:4700:3038::681f:9ad"
"99","13.174124","192.168.42.129","192.168.42.54","DNS","104","Standard query response 0x113c A www.youx.xxx A 104.31.8.173 A 104.31.9.173"
"100","13.195478","2405:204:4088:c972:d175:5de0:a2d0:cc05","2406:2000:e4:1404::3000","TCP","86","53853  >  443 [SYN] Seq=0 Win=64800 Len=0 MSS=1440 WS=256 SACK_PERM=1"
"101","13.206339","2406:2000:e4:1404::3000","2405:204:4088:c972:d175:5de0:a2d0:cc05","TCP","86","443  >  53852 [SYN, ACK] Seq=0 Ack=1 Win=14400 Len=0 MSS=1370 SACK_PERM=1 WS=256"
"102","13.206494","2405:204:4088:c972:d175:5de0:a2d0:cc05","2406:2000:e4:1404::3000","TCP","74","53852  >  443 [ACK] Seq=1 Ack=1 Win=131328 Len=0"
"103","13.221797","2405:204:4088:c972:d175:5de0:a2d0:cc05","2406:2000:e4:1404::3000","TLSv1.2","591","Client Hello"
"104","13.302002","2406:2000:e4:1404::3000","2405:204:4088:c972:d175:5de0:a2d0:cc05","TCP","74","443  >  53851 [ACK] Seq=1 Ack=518 Win=15616 Len=0"
"105","13.306429","2406:2000:e4:1404::3000","2405:204:4088:c972:d175:5de0:a2d0:cc05","TLSv1.2","1444","Server Hello"
"106","13.306430","2406:2000:e4:1404::3000","2405:204:4088:c972:d175:5de0:a2d0:cc05","TCP","1444","443  >  53851 [ACK] Seq=1371 Ack=518 Win=15616 Len=1370 [TCP segment of a reassembled PDU]"
"107","13.306430","2406:2000:e4:1404::3000","2405:204:4088:c972:d175:5de0:a2d0:cc05","TCP","1430","443  >  53851 [PSH, ACK] Seq=2741 Ack=518 Win=15616 Len=1356 [TCP segment of a reassembled PDU]"
"108","13.306572","2405:204:4088:c972:d175:5de0:a2d0:cc05","2406:2000:e4:1404::3000","TCP","74","53851  >  443 [ACK] Seq=518 Ack=4097 Win=131328 Len=0"
"109","13.316701","2406:2000:e4:1404::3000","2405:204:4088:c972:d175:5de0:a2d0:cc05","TLSv1.2","1444","Certificate, Certificate Status"
"110","13.316792","2405:204:4088:c972:d175:5de0:a2d0:cc05","2406:2000:e4:1404::3000","TCP","74","53851  >  443 [ACK] Seq=518 Ack=5467 Win=131328 Len=0"
"111","13.318623","2406:2000:e4:1404::3000","2405:204:4088:c972:d175:5de0:a2d0:cc05","TLSv1.2","120","Server Key Exchange, Server Hello Done"
"112","13.319560","2406:2000:e4:1404::3000","2405:204:4088:c972:d175:5de0:a2d0:cc05","TCP","86","443  >  53853 [SYN, ACK] Seq=0 Ack=1 Win=14400 Len=0 MSS=1370 SACK_PERM=1 WS=256"
"113","13.319667","2405:204:4088:c972:d175:5de0:a2d0:cc05","2406:2000:e4:1404::3000","TCP","74","53853  >  443 [ACK] Seq=1 Ack=1 Win=131328 Len=0"
"114","13.329113","2405:204:4088:c972:d175:5de0:a2d0:cc05","2406:2000:e4:1404::3000","TLSv1.2","591","Client Hello"
"115","13.359606","2405:204:4088:c972:d175:5de0:a2d0:cc05","2406:2000:e4:1404::3000","TCP","74","53851  >  443 [ACK] Seq=518 Ack=5513 Win=131328 Len=0"
"116","13.372339","2406:2000:e4:1404::3000","2405:204:4088:c972:d175:5de0:a2d0:cc05","TCP","74","443  >  53852 [ACK] Seq=1 Ack=518 Win=15616 Len=0"
"117","13.395363","2405:204:4088:c972:d175:5de0:a2d0:cc05","2406:2000:e4:1404::3000","TLSv1.2","200","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"118","13.406776","2405:204:4088:c972:d175:5de0:a2d0:cc05","2406:2000:e4:1404::3000","TCP","86","53854  >  443 [SYN] Seq=0 Win=64800 Len=0 MSS=1440 WS=256 SACK_PERM=1"
"119","13.437271","2406:2000:e4:1404::3000","2405:204:4088:c972:d175:5de0:a2d0:cc05","TLSv1.2","1444","Server Hello"
"120","13.437275","2406:2000:e4:1404::3000","2405:204:4088:c972:d175:5de0:a2d0:cc05","TCP","1444","443  >  53852 [ACK] Seq=1371 Ack=518 Win=15616 Len=1370 [TCP segment of a reassembled PDU]"
"121","13.437275","2406:2000:e4:1404::3000","2405:204:4088:c972:d175:5de0:a2d0:cc05","TCP","1430","443  >  53852 [PSH, ACK] Seq=2741 Ack=518 Win=15616 Len=1356 [TCP segment of a reassembled PDU]"
"122","13.437424","2405:204:4088:c972:d175:5de0:a2d0:cc05","2406:2000:e4:1404::3000","TCP","74","53852  >  443 [ACK] Seq=518 Ack=4097 Win=131328 Len=0"
"123","13.440065","2406:2000:e4:1404::3000","2405:204:4088:c972:d175:5de0:a2d0:cc05","TLSv1.2","1444","Certificate, Certificate Status"
"124","13.440067","2406:2000:e4:1404::3000","2405:204:4088:c972:d175:5de0:a2d0:cc05","TLSv1.2","120","Server Key Exchange, Server Hello Done"
"125","13.440343","2405:204:4088:c972:d175:5de0:a2d0:cc05","2406:2000:e4:1404::3000","TCP","74","53852  >  443 [ACK] Seq=518 Ack=5513 Win=131328 Len=0"
"126","13.443837","2405:204:4088:c972:d175:5de0:a2d0:cc05","2406:2000:e4:1404::3000","TLSv1.2","200","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"127","13.467053","2406:2000:e4:1404::3000","2405:204:4088:c972:d175:5de0:a2d0:cc05","TCP","74","443  >  53853 [ACK] Seq=1 Ack=518 Win=15616 Len=0"
"128","13.531587","2406:2000:e4:1404::3000","2405:204:4088:c972:d175:5de0:a2d0:cc05","TLSv1.2","348","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"129","13.531587","2406:2000:e4:1404::3000","2405:204:4088:c972:d175:5de0:a2d0:cc05","TLSv1.2","112","Application Data"
"130","13.531689","2405:204:4088:c972:d175:5de0:a2d0:cc05","2406:2000:e4:1404::3000","TCP","74","53851  >  443 [ACK] Seq=644 Ack=5825 Win=131072 Len=0"
"131","13.533484","2406:2000:e4:1404::3000","2405:204:4088:c972:d175:5de0:a2d0:cc05","TLSv1.2","124","Application Data"
"132","13.533484","2406:2000:e4:1404::3000","2405:204:4088:c972:d175:5de0:a2d0:cc05","TLSv1.2","107","Application Data"
"133","13.533572","2405:204:4088:c972:d175:5de0:a2d0:cc05","2406:2000:e4:1404::3000","TCP","74","53851  >  443 [ACK] Seq=644 Ack=5908 Win=131072 Len=0"
"134","13.536996","2406:2000:e4:1404::3000","2405:204:4088:c972:d175:5de0:a2d0:cc05","TLSv1.2","1444","Server Hello"
"135","13.536998","2406:2000:e4:1404::3000","2405:204:4088:c972:d175:5de0:a2d0:cc05","TCP","1444","443  >  53853 [ACK] Seq=1371 Ack=518 Win=15616 Len=1370 [TCP segment of a reassembled PDU]"
"136","13.536999","2406:2000:e4:1404::3000","2405:204:4088:c972:d175:5de0:a2d0:cc05","TCP","1430","443  >  53853 [PSH, ACK] Seq=2741 Ack=518 Win=15616 Len=1356 [TCP segment of a reassembled PDU]"
"137","13.537140","2405:204:4088:c972:d175:5de0:a2d0:cc05","2406:2000:e4:1404::3000","TCP","74","53853  >  443 [ACK] Seq=518 Ack=4097 Win=131328 Len=0"
"138","13.543379","2406:2000:e4:1404::3000","2405:204:4088:c972:d175:5de0:a2d0:cc05","TLSv1.2","1444","Certificate, Certificate Status"
"139","13.543380","2406:2000:e4:1404::3000","2405:204:4088:c972:d175:5de0:a2d0:cc05","TLSv1.2","120","Server Key Exchange, Server Hello Done"
"140","13.543497","2405:204:4088:c972:d175:5de0:a2d0:cc05","2406:2000:e4:1404::3000","TCP","74","53853  >  443 [ACK] Seq=518 Ack=5513 Win=131328 Len=0"
"141","13.549415","2405:204:4088:c972:d175:5de0:a2d0:cc05","2406:2000:e4:1404::3000","TLSv1.2","127","Application Data"
"142","13.549482","2405:204:4088:c972:d175:5de0:a2d0:cc05","2406:2000:e4:1404::3000","TLSv1.2","118","Application Data"
"143","13.549514","2405:204:4088:c972:d175:5de0:a2d0:cc05","2406:2000:e4:1404::3000","TLSv1.2","112","Application Data"
"144","13.549544","2405:204:4088:c972:d175:5de0:a2d0:cc05","2406:2000:e4:1404::3000","TLSv1.2","124","Application Data"
"145","13.550070","2405:204:4088:c972:d175:5de0:a2d0:cc05","2406:2000:e4:1404::3000","TLSv1.2","460","Application Data"
"146","13.572658","2406:2000:e4:1404::3000","2405:204:4088:c972:d175:5de0:a2d0:cc05","TCP","74","443  >  53852 [ACK] Seq=5513 Ack=644 Win=15616 Len=0"
"147","13.572659","2406:2000:e4:1404::3000","2405:204:4088:c972:d175:5de0:a2d0:cc05","TLSv1.2","348","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"148","13.572659","2406:2000:e4:1404::3000","2405:204:4088:c972:d175:5de0:a2d0:cc05","TLSv1.2","112","Application Data"
"149","13.572659","2406:2000:e4:1404::3000","2405:204:4088:c972:d175:5de0:a2d0:cc05","TLSv1.2","124","Application Data"
"150","13.572776","2405:204:4088:c972:d175:5de0:a2d0:cc05","2406:2000:e4:1404::3000","TCP","74","53852  >  443 [ACK] Seq=644 Ack=5875 Win=131072 Len=0"
"151","13.573489","2406:2000:e4:1404::3000","2405:204:4088:c972:d175:5de0:a2d0:cc05","TLSv1.2","107","Application Data"
"152","13.573547","2405:204:4088:c972:d175:5de0:a2d0:cc05","2406:2000:e4:1404::3000","TCP","74","53852  >  443 [ACK] Seq=644 Ack=5908 Win=131072 Len=0"
"153","13.614543","2405:204:4088:c972:d175:5de0:a2d0:cc05","2406:2000:e4:1404::3000","TLSv1.2","200","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"154","13.637014","2406:2000:e4:1404::3000","2405:204:4088:c972:d175:5de0:a2d0:cc05","TCP","86","443  >  53854 [SYN, ACK] Seq=0 Ack=1 Win=14400 Len=0 MSS=1370 SACK_PERM=1 WS=256"
